,Event,Object,Seed,Hit
559,23,ngc_cords,504658646,"(53, 0.053)"
560,23,sgr,204010942,"(16, 0.016)"
561,23,grs,204010942,"(70, 0.07)"
562,23,ss,204010942,"(46, 0.046)"
563,23,ngc_cords,204010942,"(0, 0.0)"
564,22,sgr,182536106,"(0, 0.0)"
565,22,grs,182536106,"(0, 0.0)"
566,22,ss,182536106,"(0, 0.0)"
567,22,ngc_cords,182536106,"(0, 0.0)"
568,30,sgr,279172868,"(0, 0.0)"
569,30,grs,279172868,"(0, 0.0)"
570,30,ss,279172868,"(0, 0.0)"
571,30,ngc_cords,279172868,"(0, 0.0)"
572,30,sgr,225485778,"(0, 0.0)"
573,30,grs,225485778,"(0, 0.0)"
574,30,ss,225485778,"(0, 0.0)"
575,30,ngc_cords,225485778,"(0, 0.0)"
576,23,sgr,536870900,"(0, 0.0)"
577,23,grs,536870900,"(0, 0.0)"
578,23,ss,536870900,"(0, 0.0)"
579,23,ngc_cords,536870900,"(0, 0.0)"
580,23,sgr,493921228,"(0, 0.0)"
581,23,grs,493921228,"(0, 0.0)"
582,23,ss,493921228,"(0, 0.0)"
583,23,ngc_cords,493921228,"(16, 0.016)"
584,22,sgr,783831514,"(195, 0.195)"
585,22,grs,783831514,"(57, 0.057)"
586,22,ss,783831514,"(2, 0.002)"
587,22,ngc_cords,783831514,"(0, 0.0)"
588,22,sgr,107374180,"(0, 0.0)"
589,22,grs,107374180,"(0, 0.0)"
590,22,ss,107374180,"(0, 0.0)"
591,22,ngc_cords,107374180,"(10, 0.01)"
592,23,sgr,816043768,"(453, 0.453)"
593,23,grs,816043768,"(27, 0.027)"
594,23,ss,816043768,"(5, 0.005)"
595,23,ngc_cords,816043768,"(0, 0.0)"
